Texto,Precio_Kg,Precio_Lt
38 Coahuila de Zaragoza Frontera ,19.93,10.76
38 Coahuila de Zaragoza Monclova ,19.93,10.76
38 Coahuila de Zaragoza Nadadores ,19.93,10.76
38 Coahuila de Zaragoza San Buenaventura ,19.93,10.76
39 Coahuila de Zaragoza Juárez ,19.86,10.72
39 Coahuila de Zaragoza Múzquiz ,19.86,10.72
39 Coahuila de Zaragoza Progreso ,19.86,10.72
39 Coahuila de Zaragoza Sabinas ,19.86,10.72
39 Coahuila de Zaragoza San Juan de Sabinas ,19.86,10.72
40 Coahuila de Zaragoza Parras ,20.53,11.09
41 Coahuila de Zaragoza Jiménez ,18.93,10.22
41 Coahuila de Zaragoza Nava ,18.93,10.22
41 Coahuila de Zaragoza Piedras Negras ,18.93,10.22
41 Coahuila de Zaragoza Zaragoza ,18.93,10.22
41 Coahuila de Zaragoza Allende ,20.33,10.98
41 Coahuila de Zaragoza Morelos ,20.33,10.98
41 Coahuila de Zaragoza Villa Unión ,20.33,10.98
42 Coahuila de Zaragoza Arteaga ,20.32,10.97
42 Coahuila de Zaragoza General Cepeda ,20.32,10.97
42 Coahuila de Zaragoza Ramos Arizpe ,20.32,10.97
42 Coahuila de Zaragoza Saltillo ,20.32,10.97
43 Coahuila de Zaragoza San Pedro ,20.74,11.20
44 Coahuila de Zaragoza Matamoros ,19.79,10.69
44 Coahuila de Zaragoza Torreón ,19.79,10.69
44 Coahuila de Zaragoza Viesca ,19.79,10.69
44 Durango Gómez Palacio ,19.79,10.69
44 Durango Lerdo ,19.79,10.69
45 Colima Armería ,19.89,10.74
45 Colima Colima ,19.89,10.74
45 Colima Comala ,19.89,10.74
45 Colima Coquimatlán ,19.89,10.74
45 Colima Cuauhtémoc ,19.89,10.74
45 Colima Ixtlahuacán ,19.89,10.74
45 Colima Manzanillo ,19.89,10.74
45 Colima Minatitlán ,19.89,10.74
45 Colima Tecomán ,19.89,10.74
45 Colima Villa de Álvarez ,19.89,10.74
45 Jalisco Tonila ,19.89,10.74
45 Michoacán de Ocampo Aquila ,19.89,10.74
45 Michoacán de Ocampo Chinicuila ,19.89,10.74
45 Michoacán de Ocampo Coahuayana ,19.89,10.74
46 Durango Canatlán ,21.13,11.41
47 Durango Cuencamé ,21.06,11.37
47 Durango General Simón Bolívar ,21.06,11.37
47 Durango Nazas ,21.06,11.37
47 Durango Rodeo ,21.06,11.37
47 Durango San Juan de Guadalupe ,21.06,11.37
47 Durango San Luis del Cordero ,21.06,11.37
47 Durango San Pedro del Gallo ,21.06,11.37
48 Durango Durango ,20.53,11.09
48 Durango Mezquital ,20.53,11.09
49 Durango El Oro ,21.27,11.49
49 Durango Indé ,21.27,11.49
49 Durango San Bernardo ,21.27,11.49
50 Durango Guadalupe Victoria ,21.25,11.47
50 Durango Pánuco de Coronado ,21.25,11.47
50 Durango Peñón Blanco ,21.25,11.47
51 Durango Mapimí ,20.81,11.24
51 Durango Tlahualilo ,20.81,11.24
52 Durango Hidalgo ,21.37,11.54
52 Durango Ocampo ,21.37,11.54
53 Durango Nombre de Dios ,20.43,11.03
53 Durango Poanas ,20.43,11.03
54 Durango Pueblo Nuevo ,21.87,11.81
54 Durango San Dimas ,21.87,11.81
55 Durango Coneto de Comonfort ,21.88,11.81
55 Durango San Juan del Río ,21.88,11.81
56 Durango Nuevo Ideal ,20.99,11.33
56 Durango Otáez ,20.99,11.33
56 Durango Santiago Papasquiaro ,20.99,11.33
57 Durango Canelas ,21.35,11.53
57 Durango Guanaceví ,21.35,11.53
57 Durango Tepehuanes ,21.35,11.53
57 Durango Topia ,21.35,11.53
58 Durango Súchil ,21.21,11.46
58 Durango Vicente Guerrero ,21.21,11.46
59 Guanajuato Acámbaro ,19.79,10.69
59 Guanajuato Coroneo ,19.79,10.69
59 Guanajuato Jerécuaro ,19.79,10.69
59 Guanajuato Salvatierra ,19.79,10.69
59 Guanajuato Santiago Maravatío ,19.79,10.69
59 Guanajuato Tarandacuao ,19.79,10.69
59 Michoacán de Ocampo Álvaro Obregón ,19.79,10.69
59 Michoacán de Ocampo Epitacio Huerta ,19.79,10.69
59 Michoacán de Ocampo Santa Ana Maya ,19.79,10.69
59 Michoacán de Ocampo Zinapécuaro ,19.79,10.69
60 Guanajuato Apaseo el Alto ,19.75,10.66
60 Guanajuato Apaseo el Grande ,19.75,10.66
60 Guanajuato Celaya ,19.75,10.66
60 Guanajuato Comonfort ,19.75,10.66
60 Guanajuato Santa Cruz de Juventino Rosas ,19.75,10.66
60 Guanajuato Tarimoro ,19.75,10.66
61 Guanajuato Cortazar ,20.13,10.87
61 Guanajuato Villagrán ,20.13,10.87
62 Guanajuato Abasolo ,19.76,10.67
62 Guanajuato Cuerámaro ,19.76,10.67
62 Guanajuato Huanímaro ,19.76,10.67
62 Guanajuato Irapuato ,19.76,10.67
62 Guanajuato Pueblo Nuevo ,19.76,10.67
62 Michoacán de Ocampo José Sixto Verduzco ,19.76,10.67
63 Guanajuato León ,19.91,10.75
63 Jalisco Lagos de Moreno ,19.91,10.75
64 Guanajuato Pénjamo ,19.42,10.49
65 Guanajuato Salamanca ,20.09,10.85
66 Guanajuato Ocampo ,20.77,11.22
66 Guanajuato San Felipe ,20.77,11.22
67 Guanajuato Manuel Doblado ,20.07,10.84
67 Guanajuato Purísima del Rincón ,20.07,10.84
67 Guanajuato San Francisco del Rincón ,20.07,10.84
68 Guanajuato Atarjea ,19.61,10.59
68 Guanajuato Doctor Mora ,19.61,10.59
68 Guanajuato San José Iturbide ,19.61,10.59
68 Guanajuato San Luis de la Paz ,19.61,10.59
68 Guanajuato Santa Catarina ,19.61,10.59
68 Guanajuato Tierra Blanca ,19.61,10.59
68 Guanajuato Victoria ,19.61,10.59
68 Guanajuato Xichú ,19.61,10.59
69 Guanajuato San Diego de la Unión ,19.56,10.56
69 Guanajuato San Miguel de Allende ,19.56,10.56
70 Guanajuato Guanajuato ,19.84,10.72
70 Guanajuato Romita ,19.84,10.72
70 Guanajuato Silao de la Victoria ,19.84,10.72
71 Guanajuato Jaral del Progreso ,19.95,10.77
71 Guanajuato Valle de Santiago ,19.95,10.77
72 Guanajuato Moroleón ,19.79,10.69
72 Guanajuato Uriangato ,19.79,10.69
72 Guanajuato Yuriria ,19.79,10.69
72 Michoacán de Ocampo Cuitzeo ,19.79,10.69
73 Guerrero Acapulco de Juárez ,20.10,10.86
73 Guerrero Ayutla de los Libres ,20.10,10.86
73 Guerrero Florencio Villarreal ,20.10,10.86
73 Guerrero San Marcos ,20.10,10.86
73 Guerrero Tecoanapa ,20.10,10.86
73 Guerrero Las Vigas ,20.10,10.86
73 Guerrero Ñuu Savi ,20.10,10.86
74 Guerrero Chilapa de Álvarez ,19.53,10.55
74 Guerrero Chilpancingo de los Bravo ,19.53,10.55
74 Guerrero General Heliodoro Castillo ,19.53,10.55
74 Guerrero José Joaquín de Herrera ,19.53,10.55
74 Guerrero Juan R. Escudero ,19.53,10.55
74 Guerrero Leonardo Bravo ,19.53,10.55
74 Guerrero Mártir de Cuilapan ,19.53,10.55
74 Guerrero Mochitlán ,19.53,10.55
74 Guerrero Quechultenango ,19.53,10.55
74 Guerrero Tixtla de Guerrero ,19.53,10.55
75 Guerrero Atoyac de Álvarez ,19.75,10.66
75 Guerrero Benito Juárez ,19.75,10.66
75 Guerrero Coyuca de Benítez ,19.75,10.66
75 Guerrero Técpan de Galeana ,19.75,10.66
76 Guerrero Ajuchitlán del Progreso ,19.72,10.65
76 Guerrero Coyuca de Catalán ,19.72,10.65
76 Guerrero Pungarabato ,19.72,10.65
76 Guerrero San Miguel Totolapan ,19.72,10.65
76 Guerrero Tlapehuala ,19.72,10.65
76 Guerrero Zirándaro ,19.72,10.65
77 Guerrero Apaxtla ,19.96,10.78
77 Guerrero Atenango del Río ,19.96,10.78
77 Guerrero Buenavista de Cuéllar ,19.96,10.78
77 Guerrero Cocula ,19.96,10.78
77 Guerrero Copalillo ,19.96,10.78
